timestamps,TP9,AF7,AF8,TP10,Right AUX, Marker
1639023400.636,-13.184,-25.879,-37.598,90.820,0.000,0
1639023400.640,-204.590,-31.250,-41.992,51.270,0.000,0
1639023400.643,-234.375,-33.691,-51.270,-70.801,0.000,0
1639023400.647,-59.570,-31.250,-52.734,-114.258,0.000,0
1639023400.651,77.148,-26.367,-44.922,-19.531,0.000,0
1639023400.655,1.465,-15.137,-43.457,86.426,0.000,0
1639023400.659,-176.270,-13.184,-43.945,67.383,0.000,0
1639023400.663,-229.492,-23.926,-49.805,-43.945,0.000,0
1639023400.666,-71.777,-21.973,-46.875,-104.492,0.000,0
1639023400.670,84.961,-14.160,-39.551,-27.344,0.000,0
1639023400.674,34.180,-15.625,-39.551,81.055,0.000,0
1639023400.678,-147.949,-30.273,-49.805,90.820,0.000,0
1639023400.683,-226.074,-33.203,-58.105,-27.344,0.000,0
1639023400.687,-90.820,-17.578,-46.875,-109.375,0.000,0
1639023400.691,71.777,-17.090,-38.574,-45.410,0.000,0
1639023400.695,52.246,-21.973,-38.086,59.570,0.000,0
1639023400.698,-122.070,-25.879,-39.062,73.242,0.000,0
1639023400.702,-243.164,-32.227,-52.734,-16.113,0.000,0
1639023400.706,-134.277,-33.203,-55.176,-99.121,0.000,0
1639023400.710,56.641,-24.902,-45.898,-62.500,0.000,0
1639023400.714,70.312,-13.672,-33.691,64.453,0.000,0
1639023400.718,-98.633,-15.625,-32.715,95.215,0.000,0
1639023400.722,-225.586,-20.020,-41.016,0.977,0.000,0
1639023400.726,-133.301,-14.648,-36.621,-84.961,0.000,0
1639023400.734,54.199,-15.625,-35.645,-57.617,0.000,0
1639023400.738,88.379,-16.113,-38.086,51.758,0.000,0
1639023400.742,-80.078,-16.113,-35.645,97.168,0.000,0
1639023400.746,-226.074,-21.484,-36.621,15.137,0.000,0
1639023400.750,-161.133,-24.414,-43.457,-79.102,0.000,0
1639023400.754,19.043,-21.484,-43.457,-56.152,0.000,0
1639023400.758,84.961,-19.043,-39.551,69.824,0.000,0
1639023400.762,-63.965,-25.391,-42.480,126.953,0.000,0
1639023400.766,-222.168,-24.414,-45.410,31.738,0.000,0
1639023400.770,-176.270,-20.508,-49.805,-83.496,0.000,0
1639023400.774,13.184,-14.648,-45.410,-87.402,0.000,0
1639023400.778,99.609,-11.230,-44.434,27.832,0.000,0
1639023400.790,-22.949,-16.602,-50.781,104.980,0.000,0
1639023400.795,-190.430,-16.602,-52.734,44.922,0.000,0
1639023400.799,-185.547,-10.254,-49.805,-73.730,0.000,0
1639023400.803,-6.348,-6.836,-43.457,-85.938,0.000,0
1639023400.807,102.539,-10.254,-38.574,17.578,0.000,0
1639023400.811,3.906,-13.672,-38.086,101.074,0.000,0
1639023400.815,-183.105,-17.090,-45.898,53.711,0.000,0
1639023400.820,-201.172,-16.113,-48.828,-62.012,0.000,0
1639023400.824,-11.230,-13.184,-41.016,-96.680,0.000,0
1639023400.828,124.023,-7.812,-38.574,-4.395,0.000,0
1639023400.832,40.527,-1.953,-41.504,98.633,0.000,0
1639023400.836,-154.297,-7.812,-41.504,73.730,0.000,0
1639023400.851,-205.078,-16.602,-44.922,-47.852,0.000,0
1639023400.855,-34.180,-19.043,-48.828,-88.379,0.000,0
1639023400.860,106.445,-20.508,-46.875,-6.836,0.000,0
1639023400.864,46.387,-12.695,-45.410,78.613,0.000,0
1639023400.869,-145.020,-11.230,-40.527,71.777,0.000,0
1639023400.873,-210.938,-18.555,-37.109,-29.297,0.000,0
1639023400.877,-68.848,-20.508,-39.062,-96.191,0.000,0
1639023400.882,85.449,-13.184,-34.668,-42.480,0.000,0
1639023400.886,61.523,-9.766,-33.203,69.824,0.000,0
1639023400.890,-124.512,-16.113,-38.574,84.961,0.000,0
1639023400.895,-223.633,-22.461,-41.992,-16.113,0.000,0
1639023400.899,-93.750,-22.949,-39.551,-100.098,0.000,0
1639023400.916,82.031,-18.555,-40.039,-47.363,0.000,0
1639023400.920,71.289,-11.719,-34.668,73.242,0.000,0
1639023400.925,-109.375,-13.184,-32.715,81.543,0.000,0
1639023400.929,-225.586,-18.066,-41.504,-13.184,0.000,0
1639023400.934,-108.887,-18.066,-40.039,-89.355,0.000,0
1639023400.938,64.453,-17.090,-38.574,-55.176,0.000,0
1639023400.943,60.547,-18.066,-40.039,53.223,0.000,0
1639023400.947,-87.402,-23.926,-37.598,83.496,0.000,0
1639023400.952,-211.426,-31.250,-45.898,8.301,0.000,0
1639023400.956,-139.648,-38.574,-56.641,-81.543,0.000,0
1639023400.961,49.805,-27.832,-46.875,-80.078,0.000,0
1639023400.965,97.168,-13.184,-37.598,28.809,0.000,0
1639023400.983,-57.617,-14.160,-39.551,102.051,0.000,0
1639023400.988,-210.449,-20.508,-40.527,28.320,0.000,0
1639023400.992,-165.527,-22.949,-45.410,-72.754,0.000,0
1639023400.997,18.066,-23.438,-44.922,-60.547,0.000,0
1639023401.002,103.027,-18.555,-38.086,37.109,0.000,0
1639023401.006,-25.879,-19.531,-36.621,102.539,0.000,0
1639023401.011,-199.219,-24.414,-40.527,49.316,0.000,0
1639023401.016,-182.617,-22.949,-43.457,-63.965,0.000,0
1639023401.020,4.395,-21.973,-44.922,-83.008,0.000,0
1639023401.025,100.586,-21.973,-41.992,4.883,0.000,0
